BHK_NO.,SQUARE_FT,LONGITUDE,LATITUDE,PRICE_PER_SQFT,LAT_LONG_INTERACTION,POSTED_BY_Dealer,POSTED_BY_Owner,UNDER_CONSTRUCTION_1,BHK_OR_RK_RK,RERA_1,READY_TO_MOVE_1,RESALE_1,SIZE_CATEGORY_Medium,SIZE_CATEGORY_Large,SIZE_CATEGORY_XLarge
3,1710.6918239999998,21.2066,72.8407,0.03974999999766177,1544.7035886200001,False,True,False,False,False,True,True,False,True,False
3,1577.287066,28.587711,77.403123,0.04438000000692328,2212.7781108214526,True,False,False,False,False,True,True,False,True,False
4,2090.163934,30.662283,76.822397,0.03660000000746352,2355.5500775523506,True,False,True,False,True,False,True,False,False,True
3,1420.21721,28.9196,76.8972,0.05984999998697382,2223.83626512,False,True,False,False,False,True,True,False,True,False
3,1419.86456,21.17,72.83,0.04429999999436566,1541.8111000000001,True,False,True,False,True,False,True,False,True,False
2,1133.086115,12.928575,77.58572099999999,0.04853999998049574,1003.072812877575,False,True,False,False,False,True,True,False,True,False
2,1350.135014,28.522931,77.357078,0.04443999998358683,2206.450598155618,True,False,True,False,True,False,True,False,True,False
4,3481.7665380000003,30.654128000000004,76.732427,0.05457000000612907,2352.1656390086564,True,False,True,False,True,False,True,False,False,True
2,1200.063161,26.696758000000003,90.513797,0.06333000001155772,2416.424934170126,False,True,False,False,False,True,True,False,True,False
2,1100.141044,10.782326,76.650988,0.03544999999109205,826.4759408380879,False,True,True,False,False,False,True,False,True,False
2,684.0881105000001,19.1849,72.8347,0.21927000001559008,1397.32643603,True,False,False,False,True,True,True,True,False,False
2,969.8825932,12.96991,77.59796,0.03917999999837506,1006.4385573836,True,False,True,False,False,False,True,True,False,False
2,1000.0,26.979452,75.765051,0.033,2044.099556732052,False,True,False,False,False,True,True,True,False,False
2,1079.859367,22.43917,88.39583,0.03982000000561184,1983.5290566611002,True,False,False,False,False,True,True,False,True,False
2,434.1705147,19.218498,72.992114,0.1775799999990188,1402.798796924772,True,False,True,False,True,False,False,False,False,False
3,1157.072606,12.86,77.786,0.06914000001828753,1000.32796,True,False,False,False,True,True,True,False,True,False
2,1200.0,13.09,80.27,0.075,1050.7342999999998,False,True,False,False,False,True,True,False,True,False
2,987.3104302000002,28.579004,77.431173,0.032310000000241056,2212.905802891692,True,False,False,False,False,True,True,True,False,False
2,1256.862179,13.055985,77.622157,0.0692199999758287,1013.433717459645,False,True,True,False,True,False,True,False,True,False
2,800.0,28.63676,77.36315,0.05625,2215.429959394,False,True,False,False,False,True,True,True,False,False
1,649.3506494,20.600601,72.953228,0.019249999998537,1502.880341690028,False,True,False,False,False,True,True,True,False,False
2,1138.4083039999998,25.3945,81.8615,0.028900000012649245,2078.8318617500004,True,False,True,False,True,False,True,False,True,False
4,2141.46658,28.368269,77.37273,0.03082000000205467,2194.93041790437,True,False,False,False,False,True,True,False,False,True
3,1096.1538460000002,12.942217,80.19109399999999,0.052000000007298236,1037.8505400153979,False,False,False,False,False,True,False,False,True,False
2,1350.390903,30.662283,76.822397,0.028139999992283716,2355.5500775523506,True,False,False,False,True,True,True,False,True,False
2,1086.113266,21.6,73.0,0.012890000001160098,1576.8000000000002,False,True,False,False,False,True,True,False,True,False
2,905.0772627,18.49667,73.94167,0.04529999999965749,1367.6746692389002,True,False,False,False,False,True,True,True,False,False
2,1138.6374460000002,26.928785,75.828002,0.02099000000742993,2041.95596283757,True,False,True,False,False,False,True,False,True,False
3,1824.034335,13.073792999999998,77.794824,0.09319999998793882,1017.073425447432,True,False,False,False,False,True,True,False,True,False
2,1450.245426,12.868182,77.59545,0.04482000000460612,998.5123729718999,True,False,False,False,False,True,True,False,True,False
